index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_excess
2433,5,1,2,-1,1,4,0,-1,4.32456,4.32456,9.33853,13.8584,18.4791,18.4791,0.332522,0.355686,0.537835,0.513781,0.913414,0.924789,0.9998,0.99999134237,0.66782755013,1.0,0.96085171487,1.0,3.5780270219
2434,6,1,2,0,3,1,-1,-1,4.32456,9.33853,18.7111,22.5415,22.5415,22.5415,0.368302,0.18735,0.147856,0.974576,0.99555,0.982786,0.011,1.0,0.311248145255,1.0,1.0,1.0,3.6564196456
2435,6,1,1,-1,-1,0,4,2,6.12595,6.12595,6.12595,11.4656,15.6597,18.4791,0.396036,0.390094,0.362765,0.992245,0.997289,0.771018,0.019299999999999998,0.9792,0.9537500264700001,0.89042334077,1.0,1.0,3.9094468716
2436,5,1,1,-1,0,4,2,-1,6.12595,6.12595,11.4656,15.6597,18.4791,18.4791,0.356011,0.376786,0.983902,0.959914,0.731051,0.74247,0.8785000000000001,0.9999987311699999,0.83291353116,1.0,1.0,0.9369000000000001,4.1501343547
2437,6,1,3,-1,-1,-1,-1,1,11.2751,11.2751,11.2751,11.2751,11.2751,16.2848,0.802934,0.790716,0.810859,0.794377,0.797754,0.259308,0.1214,0.4851,0.45943947892,1.0,0.4604,0.9584,4.2559466634
2438,5,1,2,4,1,-1,3,-1,4.32456,9.23771,13.8584,13.8584,23.231,23.231,0.328374,0.666981,0.393158,0.466278,0.978866,0.966142,0.94029278879,0.1815,0.9399,0.4576,0.81968826283,1.0,3.7997992623
2439,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.959914,0.985572,0.962218,0.987636,0.993382,0.955505,1.0,1.0,1.0,1.0,1.0,1.0,5.8442275589
2440,6,1,2,3,0,4,-1,1,4.32456,14.8134,18.7111,23.231,23.231,26.7355,0.357988,0.320592,0.102064,0.897377,0.892777,0.987311,0.2812,0.99962544471,0.9461999999999999,0.9677467979100001,1.0,1.0,3.5581083059
2441,6,1,1,2,-1,3,-1,-1,6.12595,9.33853,9.33853,18.7111,18.7111,18.7111,0.304675,0.545177,0.560434,0.796604,0.819374,0.82475,0.7749,0.1659,1.0,0.5775,0.6989827870800001,1.0,3.8510141948
2442,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.992881,0.974818,0.959914,0.993382,0.959914,0.8775,1.0,1.0,1.0,1.0,1.0,1.0,5.7584083266
2443,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.643862,0.895567,0.894582,0.890811,0.883431,0.853533,0.1952,0.1695,1.0,1.0,0.35419999999999996,0.9998762834330001,5.06178586
2444,5,1,2,0,1,4,3,-1,4.32456,9.33853,14.285,18.4791,26.7355,26.7355,0.36662,0.177786,0.824951,0.870347,0.991656,0.915868,0.2554,0.99996602934,0.7604,1.0,0.9894000000000001,1.0,4.1472284104
2445,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.974135,0.964211,0.899682,0.972589,0.971489,0.947947,0.104526936418,1.0,0.8943000000000001,1.0,0.999936103,1.0,5.7300531351
2446,5,1,1,-1,-1,4,2,-1,6.12595,6.12595,6.12595,10.7133,13.8584,13.8584,0.394875,0.392277,0.304675,0.851801,0.507172,0.519889,0.06428898485199999,0.2341,0.7748999999999999,0.6854900929200001,1.0,1.0,2.9706878913
2447,6,1,2,-1,-1,1,4,0,4.32456,4.32456,4.32456,9.33853,13.8584,18.4791,0.332522,0.359869,0.328374,0.530855,0.478014,0.908345,0.9998,0.9706,0.9402927887899999,0.6389654634699999,1.0,0.902,2.9379792671
2448,4,2,2,0,1,-1,-1,-1,5.71934,11.2406,15.1146,15.1146,15.1146,15.1146,0.628071,0.727574,0.969373,0.969373,0.960211,0.93064,0.052764917972,0.124872013256,0.3549,0.3549,1.0,0.9363,5.1852422853
2449,2,2,3,1,-1,-1,-1,-1,5.75369,11.396,11.396,11.396,11.396,11.396,0.982786,0.821033,0.812683,0.800318,0.827534,0.710484,1.0,0.51259964489,0.9981,1.0,1.0,0.9338,4.9548376243
2450,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.986277,0.993382,0.99555,0.956628,0.997804,0.973847,1.0,1.0,1.0,1.0,1.0,1.0,5.9034876908
2451,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.397904,0.987991,0.974542,0.969418,0.956518,0.973042,1.0,0.8441857173799999,1.0,1.0,1.0,1.0,5.2594149796
2452,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.986277,0.993382,0.982786,0.993382,0.982786,0.974818,1.0,1.0,1.0,1.0,1.0,1.0,5.9134291672
2453,6,1,0,1,-1,-1,-1,3,6.12595,11.4656,11.4656,11.4656,11.4656,20.5083,0.11886,0.869192,0.829514,0.863434,0.859454,0.903942,0.45929736553,0.1184,1.0,1.0,0.84860357934,0.939457914938,4.4443963376
2454,6,1,2,3,4,1,-1,0,4.32456,14.8134,19.7265,23.231,23.231,26.7355,0.317555,0.326537,0.959914,0.994989,0.954105,0.982786,0.9898,0.99995368038,1.0,1.0,1.0,1.0,4.5358864483
2455,6,1,2,3,1,4,0,0,4.32456,14.8134,18.7111,23.231,26.7355,26.7355,0.36662,0.300318,0.845563,0.959383,0.911104,0.913381,0.2554,0.7052999999999999,0.69494196238,0.55141729256,0.7343999999999999,1.0,4.2963681509
2456,6,1,3,-1,4,-1,0,1,11.2751,11.2751,16.9745,16.9745,20.8722,24.7024,0.766343,0.797754,0.658596,0.665079,0.229782,0.985677,0.4955,0.46040000000000003,0.8300970479900001,0.8540919139900001,0.6728000000000001,1.0,4.1032300281
2457,6,1,2,-1,1,-1,-1,0,4.32456,4.32456,9.33853,9.33853,9.33853,14.285,0.346147,0.354172,0.530855,0.543789,0.505614,0.864417,1.0,1.0,0.6389654634699999,1.0,1.0,0.937,3.144994574
2458,6,1,1,0,2,-1,-1,4,6.12595,11.4656,14.285,14.285,14.285,18.4791,0.350998,0.992031,0.946847,0.951193,0.967212,0.821936,0.3385,0.86947389785,1.0,0.9883,0.41969999999999996,1.0,5.0302182783
2459,3,2,0,-1,2,-1,-1,-1,5.52124,5.52124,11.2406,11.2406,11.2406,11.2406,0.96679,0.973135,0.713218,0.726472,0.726881,0.727077,0.99880105058,0.276,1.0,1.0,1.0,1.0,4.8335719451
2460,6,1,2,3,4,-1,0,-1,4.32456,14.8134,19.7265,19.7265,23.231,23.231,0.359436,0.330781,0.99555,0.986277,0.752471,0.762381,0.99999999589,1.0,1.0,1.0,0.32839999999999997,1.0,4.1868955929
2461,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.396036,0.992031,0.943716,0.912568,0.992204,0.981177,0.019299999999999998,0.86947389785,0.9259999999999999,1.0,1.0,0.999998305062,5.2177320148
2462,3,2,2,-1,1,-1,-1,-1,5.71934,5.71934,10.505,10.505,10.505,10.505,0.632829,0.615977,0.934469,0.875718,0.906105,0.917376,0.01066111357268,1.0,0.3109,0.7970999999999999,0.8247,0.999999968962,4.8824743743
2463,6,1,2,-1,1,-1,-1,0,4.32456,4.32456,9.33853,9.33853,9.33853,14.285,0.359315,0.328374,0.540225,0.550516,0.54305,0.864417,0.9950261772,0.94029278879,0.6343,0.7319219779199999,1.0,0.937,3.1858971414
2464,5,1,3,-1,-1,0,2,-1,11.2751,11.2751,11.2751,16.2848,18.7111,18.7111,0.800289,0.773918,0.766343,0.562836,0.13558,0.125907,1.0,1.0,0.4955,1.0,0.40226872643,0.981297989303,3.1648737936
2465,5,1,3,-1,2,4,0,-1,11.2751,11.2751,14.8134,19.7265,23.231,23.231,0.794377,0.795271,0.336616,0.944778,0.845718,0.864689,1.0,0.1976,0.3206,0.8371,1.0,1.0,4.5814483047
2466,4,1,3,0,-1,2,-1,-1,11.2751,16.2848,16.2848,18.7111,18.7111,18.7111,0.779562,0.558027,0.567573,0.144578,0.139241,0.134084,0.99663019718,0.6605,0.77437857086,0.340293264491,0.3936,0.9995,2.3230644323
