index,concept,i1,i2,i3,i4,i5,ax_pos,st_height,st_width,st_thick,laser_power,scanning_speed,power_density,n_layers,n_deposits,layer_thick,layer_width,layer_length,base_S_ip,base_N_ip,base_n_f_ip,base_U_ip,base_S_th,base_N_th,base_n_f_th,base_U_th,S_ip,N_ip,n_f_ip,U_ip,S_th,N_th,n_f_th,U_th,weight,temp,h_flux,h_area,S_residual,U_res,max_T_pool,build_time,max_res_U,max_res_S,resiliance_ip_uni,resiliance_ip_gau,R_volume_ip_uni,R_volume_ip_gau,capability_ip_uni,capability_ip_gau,buffer_ip_uni,buffer_ip_gau,excess_ip_uni,excess_ip_gau,resiliance_th_uni,resiliance_th_gau,R_volume_th_uni,R_volume_th_gau,capability_th_uni,capability_th_gau,buffery_th_uni,buffer_th_gau,excess_th_uni,excess_th_gau
117,1,1,3,0,2,4,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.320957235,88581.7319854,3.45074503201,0.308460581372,317.208687732,126481.098476,4.26026301699,3.2566308543,26.7355399798305,1073.18530273,0.573418997885,72863.80685105,111.959583282,0.16957898438,2144.57,2185.91420553,0.16957898437976837,111.9595832824707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9994,0.9991,0.03515625,0.01084307124143118,0.96424375,0.9882569287585689
118,1,1,3,0,4,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.582763244,90650.7539993,3.5027875165,0.314162706074,377.04233241,118749.306009,4.16372700911,3.27278879511,24.702390246807,1077.98046875,0.573418997885,72863.80685105,100.838006973,0.169069260359,2144.57,2185.91420553,0.16906926035881042,100.8380069732666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9931,0.9926,0.03515625,0.01084307124143118,0.95794375,0.9817569287585689
119,1,1,3,0,4,2,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.385358209,90293.3127919,3.4887272844,0.30868768313,318.979268344,119246.522949,4.19379592257,3.25681207612,26.7355399798305,1085.85473633,0.759037790587,55044.22535105,107.715953827,0.169480115175,2144.57,78596.2460705,0.1694801151752472,107.7159538269043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9704,0.974,0.03515625,0.01084307124143118,0.93524375,0.9631569287585688
120,1,1,3,2,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.989392158,71821.0520087,3.32947977846,0.404743877114,244.920162075,83082.8288081,3.66045892987,3.439709273,18.7111419991587,1129.9152832,0.759037790587,55044.22535105,100.946603775,0.168423518538,2144.57,78596.2460705,0.16842351853847504,100.94660377502441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8588,0.9800836929987723,0.03515625,0.01084307124143118,0.8869,0.8908,0.030192187500000002,0.010627117305750654,0.8567078125,0.8801728826942494
121,1,1,3,2,0,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.911817931,84076.3068186,3.43883362,0.364866821869,263.594833105,211145.661616,3.84523480841,3.39172476983,22.5414523328085,1047.0135498,0.5359447198030001,77957.00873815,118.146095276,0.170057028532,2144.57,109919.388856,0.1700570285320282,118.1460952758789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9999,1.0,0.03515625,0.01084307124143118,0.96474375,0.9891569287585689
122,1,1,3,2,0,4,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.165924091,87545.2074452,3.41822635915,0.308453440056,316.961766921,126960.410917,4.2638051276,3.25663002959,26.7355399798305,1073.19799805,0.573418997885,72863.80685105,124.059263229,0.169406563044,2144.57,2185.91420553,0.16940656304359436,124.05926322937012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9918,0.9928,0.03515625,0.01084307124143118,0.95664375,0.9819569287585689
123,1,1,3,2,4,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.312960946,80614.1320956,3.38655904887,0.326438938927,349.545478711,143499.027339,4.36762573935,3.29845720564,23.231032567224297,1087.32519531,0.573418997885,72863.80685105,110.556774139,0.16998834908,2144.57,2185.91420553,0.16998834908008575,110.5567741394043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9997,0.9999,0.03515625,0.01084307124143118,0.96454375,0.9890569287585689
124,1,1,3,2,4,0,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.011247115,88990.7294247,3.44649345142,0.308822993908,320.865263004,124289.728304,4.24052496071,3.25691036383,26.7355399798305,1026.66772461,0.5359447198030001,77957.00873815,117.428174973,0.169249400496,2144.57,109919.388856,0.16924940049648285,117.42817497253418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9963,0.9952,0.03515625,0.01084307124143118,0.96114375,0.9843569287585688
125,1,1,3,4,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.821689214,72599.8116333,3.60392468576,0.331887074991,328.464781738,42350.2652293,3.03220823681,3.31982184781,20.872186794540898,1098.89575195,0.573418997885,72863.80685105,85.3777523041,0.168489277363,2144.57,2185.91420553,0.1684892773628235,85.37775230407715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.729,0.8193913958934955,0.03515625,0.01084307124143118,0.8317,0.8295,0.02562890625,0.008884719280288911,0.80607109375,0.8206152807197111
126,1,1,3,4,0,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.507070301,93309.0562398,3.53661423416,0.314608907708,374.583277746,119868.390519,4.17324422399,3.27315609706,24.702390246807,1034.56835938,0.5359447198030001,77957.00873815,92.6249828339,0.168912693858,2144.57,109919.388856,0.16891269385814667,92.6249828338623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9895,0.9888,0.03515625,0.01084307124143118,0.95434375,0.9779569287585689
127,1,1,3,4,0,2,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.178771344,92304.9910681,3.50187409723,0.30881120404,320.525040432,115768.027321,4.15852080135,3.25691039102,26.7355399798305,1085.85473633,0.759037790587,55044.22535105,97.8091335297,0.16933748126,2144.57,78596.2460705,0.16933748126029968,97.80913352966309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9972,0.9959,0.03515625,0.01084307124143118,0.96204375,0.9850569287585689
128,1,1,3,4,2,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.93079426,84246.8740068,3.43903945361,0.326927186453,351.474567681,124115.959257,4.02761194576,3.29884763907,23.231032567224297,1101.75830078,0.759037790587,55044.22535105,94.4173278809,0.169001668692,2144.57,78596.2460705,0.16900166869163513,94.41732788085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9836,0.9835,0.03515625,0.01084307124143118,0.94844375,0.9726569287585689
