index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,R1,R2,R3,R4,R5,R6,Total_weight
893,6,1,2,-1,-1,-1,1,0,4.32456,4.32456,4.32456,4.32456,9.33853,14.285,0.012074715425,0.26971017374,0.5424382716,0.47530864198,0.42041833659,1.0,40.921803529
894,6,1,2,-1,-1,1,-1,0,4.32456,4.32456,4.32456,9.33853,9.33853,14.285,0.07253086419799999,0.22299382716,0.7009653596700001,0.77777777778,0.9783765491,1.0,45.935777804
895,6,1,1,2,-1,-1,-1,0,6.12595,9.33853,9.33853,9.33853,9.33853,14.285,0.3549382716,0.12582547894,0.72222222222,0.9881644361299999,0.9781040719,1.0,57.765115107
896,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.7962962963,0.93055555556,0.99573946474,0.9775304238,0.97155239222,0.9935580078054,101.8472058
897,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.27469295734,0.26388888889,0.7052469135799999,0.9992521463399999,1.0,1.0,52.77466626
898,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.047067901235,0.99824812039,1.0,0.99998331868,0.99606812198,1.0,63.453992894
899,6,1,2,-1,-1,-1,-1,3,4.32456,4.32456,4.32456,4.32456,4.32456,19.7265,0.104938271605,0.13355694358800002,0.55787037037,0.49486367242999996,0.72762345679,1.0,41.349311639
900,2,1,3,2,-1,-1,-1,-1,16.9745,19.7265,19.7265,19.7265,19.7265,19.7265,0.7314327122500001,1.0,1.0,1.0,1.0,1.0,115.60716006
901,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.45756172840000003,0.9475308642,1.0,1.0,1.0,1.0,63.453992894
902,6,1,1,2,-1,-1,-1,0,6.12595,9.33853,9.33853,9.33853,9.33853,14.285,0.19812730786000002,0.117607497201,0.86874365901,0.75360528027,0.56635802469,1.0,57.765115107
903,5,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.14783291126,1.0,0.9979734310999999,1.0,1.0,1.0,63.453992894
904,6,1,2,-1,-1,-1,1,0,4.32456,4.32456,4.32456,4.32456,9.33853,14.285,0.14942066796,0.29089506173,0.39274691358,0.47530864198,0.9242004217299999,0.9922839506173,40.921803529
905,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.083333333333,0.78739422972,0.99999483722,1.0,0.9999990564400001,1.0,58.114329577
906,6,1,1,-1,2,-1,-1,0,6.12595,6.12595,9.33853,9.33853,9.33853,14.285,0.15354938272000002,0.132716049383,0.46738410877000003,0.95573432888,0.77690562639,1.0,54.552529587
907,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.08552629343899999,0.99999963492,1.0,1.0,1.0,1.0,63.453992894
908,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.8114226947600001,0.46836419753,0.5108024691399999,0.33950617284,1.0,1.0,47.435002944
909,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.51466049383,0.58269143434,0.340277777778,0.9976851851899999,1.0,1.0,52.77466626
910,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.058617632935000004,0.23921338725,1.0,1.0,1.0,1.0,58.114329577
